"admin3Name","admin2Name","admin1Name","date","mean","stdDev","admin1Pcod","admin2Pcod","admin3Pcod"
"Aaba","El Koura","North",2024-03-01,2.2283523,0.23625,"LB5","LB54",32143
"Aaba","El Koura","North",2022-07-01,1.4971229,0.16875,"LB5","LB54",32143
"Aaba","El Koura","North",2018-08-01,3.5651188,0.0962501,"LB5","LB54",32143
"Aaba","El Koura","North",2021-12-01,1.8155579,0.15,"LB5","LB54",32143
"Aaba","El Koura","North",2019-05-01,4.6239721,0.38875,"LB5","LB54",32143
"Aaba","El Koura","North",2019-03-01,3.4515083,0.0337499,"LB5","LB54",32143
"Aaba","El Koura","North",2018-02-01,5.0315133,0.06375,"LB5","LB54",32143
"Aaba","El Koura","North",2019-12-01,4.1551085,0.2825,"LB5","LB54",32143
"Aaba","El Koura","North",2019-10-01,3.5195247,0.3349999,"LB5","LB54",32143
"Aaba","El Koura","North",2023-03-01,1.7586674,0.0125,"LB5","LB54",32143
"Aaba","El Koura","North",2021-11-01,1.6082592,0.15625,"LB5","LB54",32143
"Aaba","El Koura","North",2022-06-01,1.1988688,0.02875,"LB5","LB54",32143
"Aaba","El Koura","North",2020-08-01,2.5449381,0.0812501,"LB5","LB54",32143
"Aaba","El Koura","North",2024-05-01,2.1299845,0.1762499,"LB5","LB54",32143
"Aaba","El Koura","North",2018-10-01,3.6701859,0.0662501,"LB5","LB54",32143
"Aaba","El Koura","North",2020-06-01,3.1045042,0.2162501,"LB5","LB54",32143
"Aaba","El Koura","North",2024-06-01,2.0423812,0.1425,"LB5","LB54",32143
"Aaba","El Koura","North",2021-03-01,3.1198037,0.35375,"LB5","LB54",32143
"Aaba","El Koura","North",2021-01-01,2.8413119,0.18125,"LB5","LB54",32143
"Aaba","El Koura","North",2018-04-01,4.6756096,0.34,"LB5","LB54",32143
"Aaba","El Koura","North",2021-10-01,1.8582077,0.135,"LB5","LB54",32143
"Aaba","El Koura","North",2023-12-01,3.1028047,0.6825,"LB5","LB54",32143
"Aaba","El Koura","North",2020-07-01,3.3572986,0.29125,"LB5","LB54",32143
"Aaba","El Koura","North",2020-10-01,3.1906921,0.3562499,"LB5","LB54",32143
"Aaba","El Koura","North",2024-09-01,2.1183729,0.13,"LB5","LB54",32143
"Aaba","El Koura","North",2021-02-01,2.6097211,0.225,"LB5","LB54",32143
"Aaba","El Koura","North",2021-09-01,2.5185072,0.29,"LB5","LB54",32143
"Aaba","El Koura","North",2022-05-01,1.5680785,0.07375,"LB5","LB54",32143
"Aaba","El Koura","North",2022-02-01,1.4022624,0.1025,"LB5","LB54",32143
"Aaba","El Koura","North",2018-06-01,4.0498089,0.295,"LB5","LB54",32143
"Aaba","El Koura","North",2021-05-01,2.5269783,0.1562501,"LB5","LB54",32143
"Aaba","El Koura","North",2022-11-01,1.1355734,0.0025,"LB5","LB54",32143
"Aaba","El Koura","North",2020-02-01,2.8010589,0.17375,"LB5","LB54",32143
"Aaba","El Koura","North",2021-08-01,2.6064462,0.3212499,"LB5","LB54",32143
"Aaba","El Koura","North",2020-03-01,3.0431559,0.105,"LB5","LB54",32143
"Aaba","El Koura","North",2023-11-01,1.9823605,0.0325,"LB5","LB54",32143
"Aaba","El Koura","North",2023-02-01,1.4930011,0.08875,"LB5","LB54",32143
"Aaba","El Koura","North",2023-07-01,2.2585899,0.2725,"LB5","LB54",32143
"Aabadiyeh","Baabda","Mount Lebanon",2023-08-01,4.224834,1.8836555,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2018-01-01,14.8086256,10.1533317,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2023-10-01,4.5814835,1.7136107,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2019-07-01,12.3153062,5.7846226,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2024-03-01,3.6044309,1.726888,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2023-12-01,5.0264826,1.8128309,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2022-10-01,2.6509828,1.1413919,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2018-08-01,12.0591807,7.3062117,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2018-07-01,12.0227841,6.7513066,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2020-11-01,10.2997045,5.1688993,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2023-09-01,3.4633967,1.3543177,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2020-05-01,10.1058931,4.2469187,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2019-04-01,12.4731392,7.6804874,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2023-01-01,2.8600364,0.9097736,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2024-09-01,4.6001589,1.9799435,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2023-06-01,4.5006755,1.6413902,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2020-12-01,10.6995659,5.5862748,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2023-04-01,3.9879963,1.5661104,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2020-10-01,8.5256267,3.8258564,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2018-10-01,11.2801481,6.4996393,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2024-06-01,4.2739294,1.6877972,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2018-02-01,12.5024471,7.1714936,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2020-04-01,8.8996103,4.0048649,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2019-10-01,12.209297,6.343452,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2018-11-01,11.3378427,6.2935964,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2023-03-01,4.1043608,1.5611402,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2024-04-01,4.6769354,1.9040853,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2021-07-01,6.0593209,2.8397107,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2020-08-01,5.9400382,2.9687792,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2019-08-01,11.9819158,6.763243,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2022-02-01,4.1223491,2.4956913,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2018-12-01,13.1061948,7.2247127,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2018-06-01,12.6231009,7.1776319,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2024-08-01,4.4153898,1.9406115,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2022-08-01,4.6995969,2.3210159,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2021-06-01,7.4574964,3.7720834,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2019-06-01,12.9740429,7.3621219,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2019-01-01,13.5372132,7.5808494,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2022-04-01,3.1068049,1.0331838,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2022-06-01,3.4039089,1.146388,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2021-11-01,3.4575009,1.4852004,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2019-02-01,10.5762802,5.0453054,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2022-09-01,2.4684739,1.0554534,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2020-01-01,10.9812713,5.5379861,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2018-03-01,14.3231153,9.4757665,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2022-07-01,3.7627806,1.6212189,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2021-12-01,3.7093368,1.9015972,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2023-02-01,2.8416105,1.1779775,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2024-02-01,4.0937003,1.5143032,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2023-07-01,4.4121564,1.8444051,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2018-04-01,14.5747055,9.3361648,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2019-03-01,10.3032121,4.9257515,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2018-09-01,12.3912258,7.7196076,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2024-07-01,4.4283159,1.8620131,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2021-02-01,8.8961772,3.8243935,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2022-11-01,2.7592933,0.8535064,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2024-05-01,5.2123677,1.8970527,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2019-11-01,12.283022,6.0454323,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2018-05-01,13.7199025,7.4509448,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2020-06-01,8.9675204,4.3174023,"LB3","LB32",21341
"Aabadiyeh","Baabda","Mount Lebanon",2019-12-01,12.3253018,6.7096308,"LB3","LB32",21341
